W016ABCDEF0008_CARD	W016ABCDEF0008_CARD	SQ_CC016ABCDEF0008_CARD	CC016ABCDEF0008_CARD				
C016ABCDEF0018_ACQUIRING	SK_OUTX_SYSTEM_ID	SK_OUTX_SYSTEM_ID	SK_OUTX_SYSTEM_ID		
C016ABCDEF0018_ACQUIRING	SK_INPUT_FILE	SK_INPUT_FILE	SK_INPUT_FILE		
C016ABCDEF0018_ACQUIRING	MICROFILM	MICROFILM	MICROFILM		
C016ABCDEF0018_ACQUIRING	SK_INFO_SYSTEM	SK_INFO_SYSTEM	SK_INFO_SYSTEM		
C016ABCDEF0018_ACQUIRING	ROW_NBR	ROW_NBR	ROW_NBR		
C016ABCDEF0018_ACQUIRING	LOCAL_DATE	LOCAL_DATE	LOCAL_DATE		
C016ABCDEF0018_ACQUIRING	TRANZ_ID	TRANZ_ID	TRANZ_ID		
C016ABCDEF0018_ACQUIRING	TRANZ_DATE	TRANZ_DATE	TRANZ_DATE		
C016ABCDEF0018_ACQUIRING	TRANS_AMOUNT	TRANS_AMOUNT	TRANS_AMOUNT		
C016ABCDEF0018_ACQUIRING	CRNCY_TRANZ_AMOUNT	CRNCY_TRANS_AMOUNT	CRNCY_TRANZ_AMOUNT		
C016ABCDEF0018_ACQUIRING	SETTLEMENT_AMOUNT	SETTLEMENT_AMOUNT	SETTLEMENT_AMOUNT		
C016ABCDEF0018_ACQUIRING	SETTLEMENT_CRNCY	SETTLEMENT_CRNCY	SETTLEMENT_CRNCY		
C016ABCDEF0018_ACQUIRING	TRANS_TYPE	TRANS_TYPE	TRANS_TYPE		
C016ABCDEF0018_ACQUIRING	MERCHAN_NAME	MERCHAN_NAME	MERCHAN_NAME		
C016ABCDEF0018_ACQUIRING	MERCHAN_ID	MERCHAN_ID	MERCHAN_ID		
C016ABCDEF0018_ACQUIRING	TERMINAL_ID	TERMINAL_ID	TERMINAL_ID		
C016ABCDEF0018_ACQUIRING	TERMINAL_TB	TERMINAL_TB	TERMINAL_TB		
C016ABCDEF0018_ACQUIRING	TERMINAL_OSB	TERMINAL_OSB	TERMINAL_OSB		
C016ABCDEF0018_ACQUIRING	PAIMENT_SYSTEM_TYPE	PAYMENT_SYSTEM_TYPE	PAIMENT_SYSTEM_TYPE		
C016ABCDEF0018_ACQUIRING	INFO_SYSTEM_TYPE_CD	INFO_SYSTEM_TYPE_CD	INFO_SYSTEM_TYPE_CD		
C016ABCDEF0018_ACQUIRING	INFO_SYSTEM_INST_CD	INFO_SYSTEM_INST_CD	INFO_SYSTEM_INST_CD		
C016ABCDEF0018_ACQUIRING	INPUT_FILE_NAME	INPUT_FILE_NAME	INPUT_FILE_NAME		
C016ABCDEF0018_ACQUIRING	SK_EVENT	SK_EVENT	SK_EVENT		
C016ABCDEF0018_ACQUIRING	SK_PAYMENT_SYSTEM	SK_PAYMENT_SYSTEM	SK_PAYMENT_SYSTEM		
C016ABCDEF0018_ACQUIRING	SK_TRANZ_CURR	SK_TRANZ_CURR	SK_TRANZ_CURR		
C016ABCDEF0018_ACQUIRING	SK_SETTL_CURR	SK_SETTL_CURR	SK_SETTL_CURR		
C016ABCDEF0018_ACQUIRING	SK_TRANS_TYPE	SK_TRANS_TYPE	SK_TRANS_TYPE		
C016ABCDEF0018_ACQUIRING	CARD_BIN	CARD_BIN	CARD_BIN		
